Title;Image;Description;Genre;Duration;Date
Roy Lichtenstein: Pop Idol;https://ichef.bbci.co.uk/images/ic/1200x675/p01h7msz.jpg;Roy Lichtenstein revolutionised art with his cartoon images of American culture. (2004);arts;29 mins;25 Feb 2004
Civilisation - 13. Heroic Materialism;https://ichef.bbci.co.uk/images/ic/1200x675/p04xl48h.jpg;Kenneth Clark considers heroic materialism and humanitarianism in the past 100 years.;arts;51 mins;8:15pm 18 May 1969
Mark Lawson Talks To... - Barry Cryer;https://ichef.bbci.co.uk/images/ic/1200x675/p0bmr7kq.jpg;Comedy writer and raconteur Barry Cryer in conversation with Mark Lawson.;arts;59 mins;10:50pm 2 Apr 2008
The Birth of British Music - 1. Purcell - The Londoner;https://ichef.bbci.co.uk/images/ic/1200x675/p0bnf61d.jpg;The life and music of Henry Purcell, from tavern songs to sacred music and stage works.;arts;59 mins;11 May 2009
Fleetwood Mac: Don't Stop;https://ichef.bbci.co.uk/images/ic/1200x675/p0blq3c0.jpg;The story of one of the biggest-selling bands of all time, told in their own words.;arts;59 mins;10:20pm 1 Nov 2009
Creachadh na Clarsaich/Plundering the Harp;https://ichef.bbci.co.uk/images/ic/1200x675/p09npd4h.jpg;A documentary on the work of Derick Thomson, the renowned Gaelic poet. ;arts;45 mins;27 Apr 2000
This Green and Pleasant Land: The Story of British Landscape Painting;https://ichef.bbci.co.uk/images/ic/1200x675/p09dn5s9.jpg;Documentary looking at how the British landscape has been depicted over the centuries.;arts;89 mins;9pm 17 May 2011
Growing Up Down's;https://ichef.bbci.co.uk/images/ic/1200x675/p01q0c3w.jpg;A group of young actors with Down's syndrome create a touring production of Hamlet.;arts;57 mins;9pm 3 Feb 2014
Castles: Britain's Fortified History - 3. Defence of the Realm;https://ichef.bbci.co.uk/images/ic/1200x675/p02ddt4z.jpg;How castle ruins took on a unique appeal, embodying a nostalgia for an age of chivalry.;arts;59 mins;9pm 18 Dec 2014
Boy George and Culture Club: Karma to Calamity;https://ichef.bbci.co.uk/images/ic/1200x675/p02kbskm.jpg;Film about Culture Club's 2014 reunion, as they record a new album and tour the UK and US.;arts;59 mins;9pm 6 Mar 2015
Rollermania: Britain's Biggest Boy Band;https://ichef.bbci.co.uk/images/ic/1200x675/p0322p2w.jpg;The tale of The Bay City Rollers, five Edinburgh lads who turned the whole world tartan.;arts;59 mins;14 Sep 2015
Dames of Classic Drama at the BBC;https://ichef.bbci.co.uk/images/ic/1200x675/p0bm09nx.jpg;The early work of Judi Dench, Maggie Smith, Diana Rigg and Helen Mirren.;arts;59 mins;8pm 8 Nov 2015
Botticelli's Venus: The Making of an Icon;https://ichef.bbci.co.uk/images/ic/1200x675/p03hxzjt.jpg;Sam Roddick explores the enduring appeal of Botticelli's masterpiece The Birth of Venus.;arts;28 mins;15 Feb 2016
The Everly Brothers: Harmonies from Heaven;https://ichef.bbci.co.uk/images/ic/1200x675/p03qv5gl.jpg;Film celebrating The Everly Brothers, arguably the world's greatest ever harmony duo.;arts;59 mins;22 Apr 2016
The Call of the Pipes;https://ichef.bbci.co.uk/images/ic/1200x675/p047tntd.jpg;An inside story of two pipe bands, Thiepval Memorial and McDonald Memorial.;arts;29 mins;10pm 17 Sep 2016
Nile Rodgers: How to Make It in the Music Business - Series 1: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p05jmzyq.jpg;Nile shows us how he has adapted to the new musical landscape and digital media.;arts;59 mins;9pm 20 Oct 2017
Black Hollywood: 'They've Gotta Have Us' - Series 1: 3. Black is the New Hollywood;https://ichef.bbci.co.uk/images/ic/1200x675/p06pqm08.jpg;In the post Black Panther era, black filmmakers are no longer seen as non-bankable.;arts;59 mins;9pm 27 Oct 2018
Stevie Wonder: A Musical History;https://ichef.bbci.co.uk/images/ic/1200x675/p08d16yl.jpg;Well-known fans of Stevie Wonder celebrate his music by selecting their favourite songs.;arts;59 mins;10pm 30 Nov 2018
Evita: The Making of a Superstar;https://ichef.bbci.co.uk/images/ic/1200x675/p06rvhnc.jpg;Suzy Klein discovers the story of one of the West End's most celebrated characters.;arts;58 mins;24 Nov 2018
Upstream;https://ichef.bbci.co.uk/images/ic/1200x675/p07pdjbl.jpg;A psycho-acoustic flight along the course of the river Dee in Scotland.;arts;27 mins;29 Sep 2019
Handmade in Bolton - Series 1: 4. Rock Crystal Bottle;https://ichef.bbci.co.uk/images/ic/1200x675/p07q4l1s.jpg;Shaun Greenhalgh attempts to carve a 10th-century Islamic bottle out of rock crystal.;arts;29 mins;7:30pm 13 Oct 2019
Mystify: Michael Hutchence;https://ichef.bbci.co.uk/images/ic/1200x675/p07ycgpr.jpg;An intimate portrait of Michael Hutchence, lead singer of INXS.;arts;97 mins;9:20pm 28 Dec 2019
Classic Albums - Tears for Fears: Songs from the Big Chair;https://ichef.bbci.co.uk/images/ic/1200x675/p0828tzj.jpg;Documentary that explores the creation of the second album by Tears for Fears.;arts;59 mins;14 Feb 2020
Art of Persia - Series 1: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p08hvjlq.jpg;Samira Ahmed goes back to when Persia faced her gravest threat, Genghis Khan.;arts;59 mins;29 Jun 2020
Everything - The Real Thing Story;https://ichef.bbci.co.uk/images/ic/1200x675/p08mc3b7.jpg;The story of four Liverpool boys who became Britain's most enduring soul and funk act.;arts;89 mins;9pm 7 Aug 2020
Handmade in Africa - Series 1: 3. Maasai Wedding Necklace;https://ichef.bbci.co.uk/images/ic/1200x675/p08pj2kt.jpg;Jane Semanto, a master bead maker, crafts a traditional Maasai wedding necklace.;arts;28 mins;7pm 31 Aug 2020
Beacons: Short Films from Wales - Series 1: 6. Leaf Boat;https://ichef.bbci.co.uk/images/ic/1200x675/p08qrvyt.jpg;A Welsh-language animated short film about love - life's greatest adventure.;arts;8 mins;17 Sep 2020
Craftivism: Making a Difference;https://ichef.bbci.co.uk/images/ic/1200x675/p095958b.jpg;Jenny Eclair meets crafters using their skills to get their voices heard.;arts;60 mins;1 Feb 2021
Life Cinematic - Series 1: 5. Amma Asante;https://ichef.bbci.co.uk/images/ic/1200x675/p097pjtl.jpg;Amma Asante selects clips from the films that have had the most influence on her work.;arts;58 mins;10:45pm 4 Mar 2021
St David's Day Celebration with Bryn Terfel;https://ichef.bbci.co.uk/images/ic/1200x675/p0983zrk.jpg;An evening of music to celebrate St David’s Day from Hoddinott Hall, Cardiff.;arts;60 mins;7pm 1 Mar 2021
Women in Film: BBC Introducing Arts;https://ichef.bbci.co.uk/images/ic/1200x675/p098kxtj.jpg;Janina Ramirez presents an intriguing collection of short films by new female film-makers.;arts;58 mins;10pm 8 Mar 2021
Eye of the Storm;https://ichef.bbci.co.uk/images/ic/1200x675/p09bxlxq.jpg;One of Scotland’s finest landscape artists, eyesight failing, attempts one last painting.;arts;78 mins;30 Mar 2021
Shelf Isolation - Series 2: Episode 6;https://ichef.bbci.co.uk/images/ic/1200x675/p09c56hp.jpg;Damian Barr talks to Two Doors Down star Alex Norton.;arts;28 mins;10:30pm 4 Apr 2021
Dancing Nation - 2. Highlights;https://ichef.bbci.co.uk/images/ic/1200x675/p091jy15.jpg;Highlights of world-class performances by the UK’s leading dance companies. ;arts;59 mins;10:15pm 10 May 2021
Dark Matter: A History of the Afrofuture;https://ichef.bbci.co.uk/images/ic/1200x675/p09hxkmy.jpg;How and why black artists, from Jean-Michel Basquiat to Grace Jones, use the sci-fi genre.;arts;58 mins;23 May 2021
Arena: African Apocalypse;https://ichef.bbci.co.uk/images/ic/1200x675/p09hv0vp.jpg;Femi Nylander travels to West Africa to discover the impact of century-old atrocities.;arts;89 mins;9:30pm 22 May 2021
Coventry Cathedral: Building for a New Britain;https://ichef.bbci.co.uk/images/ic/1200x675/p09kltqr.jpg;The story of the 1962 rebuilding of Coventry Cathedral after its destruction in WWII.;arts;75 mins;9pm 9 Jun 2021
Great British Photography Challenge - Series 1: Episode 4;https://ichef.bbci.co.uk/images/ic/1200x675/p09kt2lh.jpg;To win the series, the amateurs must face three final assignments and mount an exhibition.;arts;59 mins;9pm 14 Jun 2021
A Pandemic Poem: Where Did the World Go?;https://ichef.bbci.co.uk/images/ic/1200x675/p09kz6rs.jpg;A powerful and moving poetic examination of the pandemic with people from across Britain.;arts;60 mins;9pm 18 Jun 2021
Kirsty Wark Meets Artist Bridget Riley;https://ichef.bbci.co.uk/images/ic/1200x675/p09kl3p6.jpg;Celebrated artist Bridget Riley talks to Kirsty Wark.;arts;26 mins;1:30pm 5 Jun 2021
Turner: The Man Who Painted Britain;https://ichef.bbci.co.uk/images/ic/1200x675/p0bkd0wx.jpg;Docudrama that reveals the private man behind the public figure of artist JMW Turner.;arts;59 mins;8pm 7 Apr 2002
Blind Ambition;https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg;Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.;arts;59 mins;10pm 1 Aug 2021
Billie Eilish: Up Close;https://ichef.bbci.co.uk/images/ic/1200x675/p09qxmqx.jpg;Clara Amfo meets the global music phenomenon Billie Eilish for an exclusive interview.;arts;45 mins;10:30pm 31 Jul 2021
Isostasy;https://ichef.bbci.co.uk/images/ic/1200x675/p09qrfy4.jpg;A Welsh short film reflecting on the impact of climate change, voiced by Cerys Matthews.;arts;7 mins;11:15pm 5 Aug 2021
In Search of Sir Walter Scott;https://ichef.bbci.co.uk/images/ic/1200x675/p09r92r3.jpg;Author Damian Barr goes in search of the legacy of novelist and poet Sir Walter Scott.;arts;58 mins;10pm 10 Aug 2021
Fake or Fortune? - Series 9: 4. A King’s Last Supper;https://ichef.bbci.co.uk/images/ic/1200x675/p09rd5kb.jpg;Could a picture bought online for £50 be a missing 18th-century work by Benjamin West?;arts;59 mins;9pm 18 Aug 2021
Edinburgh Unlocked - 2021: Episode 2;https://ichef.bbci.co.uk/images/ic/1200x675/p09rvpd5.jpg;Comedian Mark Nelson and his star team bring you the best of the Edinburgh Fringe 2021.;arts;28 mins;10:30pm 26 Aug 2021
A’ Chùil - Series 1: Episode 14;https://ichef.bbci.co.uk/images/ic/1200x675/p09t8kr0.jpg;Choirstaidh tries different recipes to find the ultimate slime.;arts;5 mins;6:45pm 7 Sep 2021
Talking Pictures - Film’s Family Favourites;https://ichef.bbci.co.uk/images/ic/1200x675/p09tzp27.jpg;Join Celia Imrie for a look through the BBC archives at enduring family favourites.;arts;44 mins;1:15pm 4 Sep 2021
Life Drawing Live! - 2021: The Show;https://ichef.bbci.co.uk/images/ic/1200x675/p09v8nxp.jpg;Grab a pencil to join Joe Lycett, celebrity artists and nude models for a live art class.;arts;119 mins;9pm 12 Sep 2021
Epic Iran;https://ichef.bbci.co.uk/images/ic/1200x675/p09vlzzz.jpg;The V&A in London brings together hundreds of artefacts showcasing Iran.;arts;22 mins;12:30am 11 Sep 2021
Inside America's Treasure House: The Met - Series 1: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p09wql1y.jpg;As the Met faces a Covid cash crisis, friends and donors rally round.;arts;59 mins;9pm 27 Sep 2021
Listening through the Lens: The Christopher Nupen Films;https://ichef.bbci.co.uk/images/ic/1200x675/p09xh28z.jpg;A film about Christopher Nupen, a pioneering director of films about classical music.;arts;90 mins;9pm 3 Oct 2021
Royal Academy Summer Exhibition - 2021. 2021;https://ichef.bbci.co.uk/images/ic/1200x675/p09x322s.jpg;Behind the scenes at the RA's Summer Exhibition, coordinated this year by Yinka Shonibare.;arts;59 mins;8pm 2 Oct 2021
Alexander Pope: Rediscovering a Genius;https://ichef.bbci.co.uk/images/ic/1200x675/p09xpj8f.jpg;Docudrama that recounts the astonishing life story of a forgotten genius.;arts;50 mins;8:10pm 10 Oct 2021
Inside Culture - Series 4: 5. Down Under;https://ichef.bbci.co.uk/images/ic/1200x675/p09zfr27.jpg;Mary Beard investigates the history of cultural exchange between Britain and Australia.;arts;29 mins;7:30pm 22 Oct 2021
Salt, by Selina Thompson;https://ichef.bbci.co.uk/images/ic/1200x675/p09z0lbj.jpg;Artist Selina Thompson recalls her journey by sea to retrace a route of the slave trade.;arts;46 mins;9pm 24 Oct 2021
Nature and Us: A History through Art - Series 1: Episode 3;https://ichef.bbci.co.uk/images/ic/1200x675/p09z0p2w.jpg;James Fox explores our relationship with nature across the last hundred years.;arts;59 mins;9pm 25 Oct 2021
Blown;https://ichef.bbci.co.uk/images/ic/1200x675/p0b06cpg.jpg;A dance film by Corey Baker to coincide with COP26 and inspired by renewable energy.;arts;3 mins;25 Oct 2021
Ten Years of the SAY Award;https://ichef.bbci.co.uk/images/ic/1200x675/p08wv0jn.jpg;Exploring the impact of the Scottish Album of the Year Award.;arts;28 mins;10:45pm 30 Oct 2021
Changing Landscapes;https://ichef.bbci.co.uk/images/ic/1200x675/p0b1vwn4.jpg;Meditating on the care and carelessness we've brought to bear on Scotland's environment.;arts;58 mins;10:35pm 2 Nov 2021
Keith Jarrett: The Art of Improvisation;https://ichef.bbci.co.uk/images/ic/1200x675/p0b283cs.jpg;A fascinating portrait of Keith Jarrett, whose work straddles classical music and jazz.;arts;81 mins;9pm 12 Nov 2021
Truman and Tennessee: An Intimate Conversation;https://ichef.bbci.co.uk/images/ic/1200x675/p0b0y66h.jpg;Docudrama that creates a fascinating comparison of two iconic 20th-century writers.;arts;80 mins;9pm 7 Nov 2021
