,Title,Image,Description,Genre,Duration,Date,ID,text,k_means
0,Roy Lichtenstein: Pop Idol,https://ichef.bbci.co.uk/images/ic/1200x675/p01h7msz.jpg,Roy Lichtenstein revolutionised art with his cartoon images of American culture. (2004),arts,29 mins,25 Feb 2004,0,Roy Lichtenstein revolutionise art cartoon image american culture 2004,0
1,Civilisation - 13. Heroic Materialism,https://ichef.bbci.co.uk/images/ic/1200x675/p04xl48h.jpg,Kenneth Clark considers heroic materialism and humanitarianism in the past 100 years.,arts,51 mins,8:15pm 18 May 1969,1,Kenneth Clark consider heroic materialism humanitarianism past 100 year,12
2,Mark Lawson Talks To... - Barry Cryer,https://ichef.bbci.co.uk/images/ic/1200x675/p0bmr7kq.jpg,Comedy writer and raconteur Barry Cryer in conversation with Mark Lawson.,arts,59 mins,10:50pm 2 Apr 2008,2,comedy writer raconteur Barry Cryer conversation Mark Lawson,0
3,The Birth of British Music - 1. Purcell - The Londoner,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnf61d.jpg,"The life and music of Henry Purcell, from tavern songs to sacred music and stage works.",arts,59 mins,11 May 2009,3,life music Henry Purcell tavern song sacred music stage work,0
4,Fleetwood Mac: Don't Stop,https://ichef.bbci.co.uk/images/ic/1200x675/p0blq3c0.jpg,"The story of one of the biggest-selling bands of all time, told in their own words.",arts,59 mins,10:20pm 1 Nov 2009,4,story big sell band time tell word,14
5,Creachadh na Clarsaich/Plundering the Harp,https://ichef.bbci.co.uk/images/ic/1200x675/p09npd4h.jpg,"A documentary on the work of Derick Thomson, the renowned Gaelic poet. ",arts,45 mins,27 Apr 2000,5,documentary work Derick Thomson renowned gaelic poet,0
6,This Green and Pleasant Land: The Story of British Landscape Painting,https://ichef.bbci.co.uk/images/ic/1200x675/p09dn5s9.jpg,Documentary looking at how the British landscape has been depicted over the centuries.,arts,89 mins,9pm 17 May 2011,6,documentary look british landscape depict century,2
7,Growing Up Down's,https://ichef.bbci.co.uk/images/ic/1200x675/p01q0c3w.jpg,A group of young actors with Down's syndrome create a touring production of Hamlet.,arts,57 mins,9pm 3 Feb 2014,7,group young actor syndrome create touring production Hamlet,0
8,Castles: Britain's Fortified History - 3. Defence of the Realm,https://ichef.bbci.co.uk/images/ic/1200x675/p02ddt4z.jpg,"How castle ruins took on a unique appeal, embodying a nostalgia for an age of chivalry.",arts,59 mins,9pm 18 Dec 2014,8,castle ruin take unique appeal embody nostalgia age chivalry,0
9,Boy George and Culture Club: Karma to Calamity,https://ichef.bbci.co.uk/images/ic/1200x675/p02kbskm.jpg,"Film about Culture Club's 2014 reunion, as they record a new album and tour the UK and US.",arts,59 mins,9pm 6 Mar 2015,9,film Culture Club 2014 reunion record new album tour UK,8
10,Rollermania: Britain's Biggest Boy Band,https://ichef.bbci.co.uk/images/ic/1200x675/p0322p2w.jpg,"The tale of The Bay City Rollers, five Edinburgh lads who turned the whole world tartan.",arts,59 mins,14 Sep 2015,10,tale Bay City Rollers Edinburgh lad turn world tartan,0
11,Dames of Classic Drama at the BBC,https://ichef.bbci.co.uk/images/ic/1200x675/p0bm09nx.jpg,"The early work of Judi Dench, Maggie Smith, Diana Rigg and Helen Mirren.",arts,59 mins,8pm 8 Nov 2015,11,early work Judi Dench Maggie Smith Diana Rigg Helen Mirren,0
12,Botticelli's Venus: The Making of an Icon,https://ichef.bbci.co.uk/images/ic/1200x675/p03hxzjt.jpg,Sam Roddick explores the enduring appeal of Botticelli's masterpiece The Birth of Venus.,arts,28 mins,15 Feb 2016,12,Sam Roddick explore endure appeal Botticelli masterpiece birth Venus,0
13,The Everly Brothers: Harmonies from Heaven,https://ichef.bbci.co.uk/images/ic/1200x675/p03qv5gl.jpg,"Film celebrating The Everly Brothers, arguably the world's greatest ever harmony duo.",arts,59 mins,22 Apr 2016,13,film celebrate Everly Brothers arguably world great harmony duo,5
14,The Call of the Pipes,https://ichef.bbci.co.uk/images/ic/1200x675/p047tntd.jpg,"An inside story of two pipe bands, Thiepval Memorial and McDonald Memorial.",arts,29 mins,10pm 17 Sep 2016,14,inside story pipe band Thiepval Memorial McDonald Memorial,14
15,Nile Rodgers: How to Make It in the Music Business - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p05jmzyq.jpg,Nile shows us how he has adapted to the new musical landscape and digital media.,arts,59 mins,9pm 20 Oct 2017,15,Nile show adapt new musical landscape digital medium,14
16,Black Hollywood: 'They've Gotta Have Us' - Series 1: 3. Black is the New Hollywood,https://ichef.bbci.co.uk/images/ic/1200x675/p06pqm08.jpg,"In the post Black Panther era, black filmmakers are no longer seen as non-bankable.",arts,59 mins,9pm 27 Oct 2018,16,post Black Panther era black filmmaker long see non bankable,0
17,Stevie Wonder: A Musical History,https://ichef.bbci.co.uk/images/ic/1200x675/p08d16yl.jpg,Well-known fans of Stevie Wonder celebrate his music by selecting their favourite songs.,arts,59 mins,10pm 30 Nov 2018,17,know fan Stevie Wonder celebrate music select favourite song,5
18,Evita: The Making of a Superstar,https://ichef.bbci.co.uk/images/ic/1200x675/p06rvhnc.jpg,Suzy Klein discovers the story of one of the West End's most celebrated characters.,arts,58 mins,24 Nov 2018,18,Suzy Klein discover story West End celebrate character,1
