content_id,activity,attribute_link,attribute_value,user_id,datetime
,create_account,,,1,2022-03-29 16:50:16.155417
,login,,,1,2022-03-29 16:50:16.157273
459,select content,Genre,comedy,1,2022-03-29 16:50:39.662323
459,unload content,,,1,2022-03-29 16:50:42.804627
,logout,,,1,2022-03-29 16:50:42.805271
,create_account,,,2,2022-03-29 16:51:09.592343
,login,,,2,2022-03-29 16:51:09.594230
,logout,,,2,2022-03-29 16:51:12.824600
,create_account,,,3,2022-03-29 16:51:31.174812
,login,,,3,2022-03-29 16:51:31.175742
,logout,,,3,2022-03-29 16:51:39.883160
,create_account,,,4,2022-03-29 16:51:57.709322
,login,,,4,2022-03-29 16:51:57.710647
,logout,,,4,2022-03-29 16:52:22.134697
,create_account,,,5,2022-03-29 16:52:34.140543
,login,,,5,2022-03-29 16:52:34.141470
,logout,,,5,2022-03-29 16:53:01.552041,login,,,1,2022-03-29 17:56:30.142493
