content_id,activity,attribute_link,attribute_value,user_id,datetime
,create account,,,1,2022-03-29 16:50:16.155417
,login,,,1,2022-03-29 16:50:16.157273
459.0,select content,Genre,comedy,1,2022-03-29 16:50:39.662323
459.0,unload content,,,1,2022-03-29 16:50:42.804627
,logout,,,1,2022-03-29 16:50:42.805271
,create account,,,2,2022-03-29 16:51:09.592343
,login,,,2,2022-03-29 16:51:09.594230
,logout,,,2,2022-03-29 16:51:12.824600
,create account,,,3,2022-03-29 16:51:31.174812
,login,,,3,2022-03-29 16:51:31.175742
,logout,,,3,2022-03-29 16:51:39.883160
,create account,,,4,2022-03-29 16:51:57.709322
,login,,,4,2022-03-29 16:51:57.710647
,logout,,,4,2022-03-29 16:52:22.134697
,create account,,,5,2022-03-29 16:52:34.140543
,login,,,5,2022-03-29 16:52:34.141470
,logout,,,5,2022-03-29 16:53:01.552041
,login,,,1,2022-03-30 13:37:40.956017
396.0,select content,Genre,comedy,1,2022-03-30 13:38:03.046505
396.0,unload content,,,1,2022-03-30 13:38:12.953942
1339.0,select content,Similar to,396,1,2022-03-30 13:38:12.955975
1339.0,unload content,,,1,2022-03-30 13:38:28.902140
1392.0,select content,Similar to,1339,1,2022-03-30 13:38:28.902989
,open profile,,,1,2022-03-30 13:38:36.187984
,update account,,,1,2022-03-30 13:40:15.633890
,close profile,,,1,2022-03-30 13:40:17.876103
1392.0,unload content,,,1,2022-03-30 13:40:19.707907
,open profile,,,1,2022-03-30 13:40:53.204815
,logout,,,1,2022-03-30 13:40:54.127416
,login,,,1,2022-03-30 13:41:42.287908
1701.0,select content,Genre,entertainment,1,2022-03-30 13:43:23.934025
1701.0,unload content,,,1,2022-03-30 13:43:28.546438
395.0,select content,Genre,comedy,1,2022-03-30 13:43:38.130661
395.0,unload content,,,1,2022-03-30 13:43:51.590789
591.0,select content,Similar to,395,1,2022-03-30 13:43:51.592358
591.0,unload content,,,1,2022-03-30 13:44:59.435200
,open profile,,,1,2022-03-30 13:47:38.648586
,close profile,,,1,2022-03-30 13:47:43.149395
398.0,select content,Genre,comedy,1,2022-03-30 13:48:44.184031
398.0,unload content,,,1,2022-03-30 13:49:29.172096
,open profile,,,1,2022-03-30 13:49:50.522733
,logout,,,1,2022-03-30 13:49:51.477211
,login,,,1,2022-03-30 14:06:40.934317
,open profile,,,1,2022-03-30 14:06:48.861445
,update account,,,1,2022-03-30 14:06:53.103485
,close profile,,,1,2022-03-30 14:07:01.015555
,open profile,,,1,2022-03-30 14:07:03.012161
,logout,,,1,2022-03-30 14:07:04.857793
,create account,,,6,2022-04-03 12:39:04.599821
,login,,,6,2022-04-03 12:39:04.601835
,login,,,6,2022-04-03 12:42:11.763830
,open profile,,,6,2022-04-03 12:42:32.083413
,close profile,,,6,2022-04-03 12:42:35.568918
,open profile,,,6,2022-04-03 12:42:36.537065
,reset interactions,,,6,2022-04-03 12:42:45.491219
,reset interactions,,,6,2022-04-03 12:42:47.280303
,reset interactions,,,6,2022-04-03 12:42:47.578309
,reset interactions,,,6,2022-04-03 12:42:47.864318
,open profile,,,1,2022-04-03 18:21:05.508174
,close profile,,,1,2022-04-03 18:21:07.041766
,open profile,,,1,2022-04-03 18:21:18.466352
,logout,,,1,2022-04-03 18:21:19.375353
,login,,,1,2022-04-03 18:22:14.374440
468,select content,Genre,comedy,1,2022-04-03 18:22:16.683762
468,content_rating,,2,1,2022-04-03 18:22:20.095744
468,unload content,,,1,2022-04-03 18:22:21.900428
416,select content,Genre,comedy,1,2022-04-03 18:22:23.262467
